Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ABILIO CESAR ALVES;ABÍLIO ALVES;Deputado Estadual;70555;PT do B;Deferido;Rio Grande Unido Pode Mais
ADAIR DOS SANTOS CHICUTA;ADAIR SANTOS;Deputado Estadual;20707;PSC;Deferido;UNIÃO VERDE ECOLOGICA CRISTÃ
ADALCIR BRUBACHER;ADALCIR BRUBACHER;Deputado Estadual;33456;PMN;Deferido;PMN
ADÃO ROBERTO RODRIGUES VILLAVERDE;VILLA;Deputado Estadual;13013;PT;Deferido;PT
ADELMO ANTONIO DE SOUZA;ADELMO SOUZA;Deputado Estadual;20120;PSC;Deferido;UNIÃO VERDE ECOLOGICA CRISTÃ
ADEMAR PETRY;ADEMAR PETRY;Deputado Estadual;11474;PP;Deferido;PP
ADILSON TROCA;ADILSON TROCA;Deputado Estadual;45123;PSDB;Deferido;Esperança por um Rio Grande Melhor
ADOLFO ANTONIO FETTER JUNIOR;FETTER;Deputado Estadual;11800;PP;Deferido;PP
ADOLFO JOSÉ BRITO;ADOLFO BRITO;Deputado Estadual;11240;PP;Deferido;PP
ADRIANA MARTINS GUIMARAES;ADRIANA GUIMARAES;Deputado Estadual;50009;PSOL;Deferido;Frente de Esquerda - PSOL / PSTU
ADRIANO CARVALHO DOLZAN;DOLZAN;Deputado Estadual;45610;PSDB;Deferido;Esperança por um Rio Grande Melhor
ADROALDO DAL MASS;DAL MASS;Deputado Estadual;25225;DEM;Deferido;Unidade Democrata Trabalhista
AGNELO FRANCISCO CHIODO;AGNELO CHIODO;Deputado Estadual;77877;SD;Deferido;Esperança por um Rio Grande Melhor
AILTON DOS SANTOS MACHADO;AILTON MACHADO;Deputado Estadual;11100;PP;Deferido;PP
AIRTON BORGES DE QUADRO;AIRTON BORGES;Deputado Estadual;20777;PSC;Deferido;UNIÃO VERDE ECOLOGICA CRISTÃ
AIRTON JOSE DE SOUZA;AIRTON SOUZA;Deputado Estadual;11900;PP;Deferido;PP
ALBERTO MAYER;BETO MAYER;Deputado Estadual;20375;PSC;Deferido;UNIÃO VERDE ECOLOGICA CRISTÃ
ALCEU JUNIOR DE FARIAS BARRA;ALCEU JUNIOR ALVORADA;Deputado Estadual;50999;PSOL;Deferido;Frente de Esquerda - PSOL / PSTU
ALCEU OLIVEIRA DA ROSA;BRASINHA;Deputado Estadual;14118;PTB;Deferido;PTB
ALDACIR JOSÉ OLIBONI;ALDACIR OLIBONI;Deputado Estadual;13580;PT;Deferido;PT
ALESSANDRA BARTZ DE LIMA;ALESSANDRA BARTZ;Deputado Estadual;70399;PT do B;Deferido;Rio Grande Unido Pode Mais
ALESSANDRO DAL ZOTTO;ALE DAL ZOTTO;Deputado Estadual;40321;PSB;Deferido;JUNTOS PELO RIO GRANDE
ALESSANDRO DE MORAES FERNANDES;SANDRO FERNANDES;Deputado Estadual;65777;PC do B;Deferido;Avançar nas Mudanças
ALEX SILVEIRA BIER;ALEX SILVEIRA BIER;Deputado Estadual;17111;PSL;Indeferido;Rio Grande Unido Pode Mais
ALEXANDRE POSTAL;ALEXANDRE POSTAL;Deputado Estadual;15150;PMDB;Deferido;PMDB
ALEXANDRE SZEKIR;ALEX SZEKIR;Deputado Estadual;43210;PV;Deferido;UNIÃO VERDE ECOLOGICA CRISTÃ
ALEXSANDRO DA SILVA GIGANTE;GIGANTE;Deputado Estadual;14224;PTB;Deferido;PTB
ALFREDO VITORIO TATTO;ALFREDO TATTO;Deputado Estadual;13654;PT;Deferido;PT
ALICE COMASSETTO;ALICE COMASSETTO;Deputado Estadual;43910;PV;Deferido;UNIÃO VERDE ECOLOGICA CRISTÃ
ALOISIO BAMBERG;BAMBERG;Deputado Estadual;54234;PPL;Deferido;Avançar nas Mudanças
ALOISIO TALSO CLASSMANN;CLASSMANN;Deputado Estadual;14200;PTB;Deferido;PTB
ALTEMIR ANTONIO TORTELLI;TORTELLI;Deputado Estadual;13030;PT;Deferido;PT
ALVARO DAVI BOESSIO;BOESSIO;Deputado Estadual;15170;PMDB;Deferido;PMDB
ALVINO DE MORAES;ALVINO DA CONSTRUÇÃO CIVIL;Deputado Estadual;27027;PSDC;Deferido;Rio Grande Unido Pode Mais
ANA INES AFFONSO;ANA AFFONSO;Deputado Estadual;13813;PT;Deferido;PT
ANA MARIA INES LEHN;ANA BOMBOM;Deputado Estadual;15067;PMDB;Deferido;PMDB
ANA NERI DE SOUSA PAULO KNUPP SOARES;ANA NERI;Deputado Estadual;20230;PSC;Deferido;UNIÃO VERDE ECOLOGICA CRISTÃ
ANA REGINA LARA DE SOUZA PÔRTO;ANINHA DO PV;Deputado Estadual;43222;PV;Deferido;UNIÃO VERDE ECOLOGICA CRISTÃ
ANAI MARIA DE SOUZA;ANAI SOUZA;Deputado Estadual;50055;PSOL;Deferido;Frente de Esquerda - PSOL / PSTU
ANDERSON D ONOFRIO FRANÇA;ANDERSON D'ONOFRIO FRANÇA;Deputado Estadual;51007;PEN;Deferido;UNIÃO VERDE ECOLOGICA CRISTÃ
ANDERSON DA CUNHA TAVARES;TAVARES DA VILA;Deputado Estadual;28010;PRTB;Deferido;PRTB
ANDERSON PINHEIRO LIMA;CHIQUINHO DA SEGURANÇA;Deputado Estadual;28357;PRTB;Deferido;PRTB
ANDRÉ LESNIK;ANDRÉ LESNIK;Deputado Estadual;43333;PV;Deferido;UNIÃO VERDE ECOLOGICA CRISTÃ
ANDRE LOPES PORTELLA;PROF. PORTELLA;Deputado Estadual;50100;PSOL;Deferido;Frente de Esquerda - PSOL / PSTU
ANDREIA GOULART COLBEICH MOLINELLI;ANDRÉIA GOULART;Deputado Estadual;43789;PV;Deferido;UNIÃO VERDE ECOLOGICA CRISTÃ
ANDREICE LONGHI;ANDREICE LONGHI;Deputado Estadual;22001;PR;Indeferido;Avançar nas Mudanças
ANELISE CAMARGO DA ROSA;ANE CAMARGO;Deputado Estadual;45511;PSDB;Deferido;Esperança por um Rio Grande Melhor
ANIBAL RIBAS;ANIBAL RIBAS;Deputado Estadual;43999;PV;Deferido;UNIÃO VERDE ECOLOGICA CRISTÃ
ANTONIA REJANE AVILA PAIM;ANTONIA REJANE PAIM;Deputado Estadual;11869;PP;Renúncia;PP
ANTONIA SILVA DE JESUS;BAIANA;Deputado Estadual;36136;PTC;Deferido;Avançar nas Mudanças
ANTONIO AILTON TORRES DE PAULA;ANTONIO DE PAULA;Deputado Estadual;12112;PDT;Deferido;Unidade Democrata Trabalhista
ANTONIO ALTAIR PUSCHNERAT;ANTONIO ALTAIR - NECO;Deputado Estadual;12660;PDT;Deferido;Unidade Democrata Trabalhista
ANTONIO CANDIDO ELIAS;ANTÔNIO ELIAS;Deputado Estadual;20677;PSC;Deferido;UNIÃO VERDE ECOLOGICA CRISTÃ
ANTÔNIO CARLOS ROSS DE ABREU;TONINHO DO TÁXI;Deputado Estadual;14914;PTB;Deferido;PTB
ANTÔNIO ELISANDRO DE OLIVEIRA;ANTÔNIO ELISANDRO;Deputado Estadual;40740;PSB;Deferido;JUNTOS PELO RIO GRANDE
ANTONIO FERNANDO NASCIMENTO RIBEIRO;FERNANDO RIBEIRO;Deputado Estadual;31013;PHS;Deferido;Rio Grande Unido Pode Mais
ANTONIO GERALDO DE SOUZA HENRIQUES FILHO;GERALDINHO;Deputado Estadual;40888;PSB;Deferido;JUNTOS PELO RIO GRANDE
ANTONIO GOMES;ENGENHEIRO ANTONIO GOMES;Deputado Estadual;12123;PDT;Deferido;Unidade Democrata Trabalhista
ANTONIO LUIS RIBEIRO;PETIÇO DO CANADÁ;Deputado Estadual;28035;PRTB;Deferido;PRTB
ANTONIO MARIA MELGAREJO SALDANHA;ANTONIO SALDANHA;Deputado Estadual;54678;PPL;Deferido;Avançar nas Mudanças
ANTONIO ROGÉRIO DE SOUZA;PAI ANTONIO;Deputado Estadual;70777;PT do B;Deferido;Rio Grande Unido Pode Mais
ANTONIO SANTOS DE SANTANA REIS;TONY REIS;Deputado Estadual;17333;PSL;Deferido;Rio Grande Unido Pode Mais
ANTONIO SOBIS;ANTONIO SOBIS;Deputado Estadual;17123;PSL;Deferido;Rio Grande Unido Pode Mais
ANTONIO VALDECI OLIVEIRA DE OLIVEIRA;VALDECI OLIVEIRA;Deputado Estadual;13713;PT;Aguardando julgamento;PT
ANY MACHADO ORTIZ;ANY ORTIZ;Deputado Estadual;23200;PPS;Deferido;JUNTOS PELO RIO GRANDE
ARCANGELO MONDARDO;ARCANGELO MONDARDO;Deputado Estadual;22069;PR;Deferido;Avançar nas Mudanças
ARI THESSING;ARI THESSING;Deputado Estadual;13510;PT;Deferido;PT
ARIEL JOEL BRANDAO DOS SANTOS;MORTADELA - ARIEL BRANDAO;Deputado Estadual;22007;PR;Deferido;Avançar nas Mudanças
ARILTON SERAFIM CARDOSO;ARILTON;Deputado Estadual;50123;PSOL;Deferido;Frente de Esquerda - PSOL / PSTU
ARLEU MACHADO DE OLIVEIRA;ARLEU MACHADO DE OLIVEIRA;Deputado Estadual;11234;PP;Deferido;PP
ARLINDO LUIZ SLAYFER;ARLINDO SLAYFER;Deputado Estadual;40623;PSB;Deferido;JUNTOS PELO RIO GRANDE
AROLDO MEDINA;AROLDO MEDINA;Deputado Estadual;55015;PSD;Deferido;Rio Grande Unido Pode Mais
AROLDO QUINTANA GARCIA;AROLDO QUINTANA;Deputado Estadual;77007;SD;Deferido;Esperança por um Rio Grande Melhor
ARXIBAUER RODRIGUES MONCORVO;AXI MONCORVO;Deputado Estadual;15190;PMDB;Deferido;PMDB
ATILAR GILBERTO GERSTNER FILHO;ATILAR JR;Deputado Estadual;40999;PSB;Deferido;JUNTOS PELO RIO GRANDE
AURÉLIO INACIO SCHMIDT;AURELIO DA PADARIA;Deputado Estadual;45000;PSDB;Deferido;Esperança por um Rio Grande Melhor
AURIO PAULO SCHERER;AURIO SCHERER;Deputado Estadual;13690;PT;Deferido;PT
AYLTON DE JESUS MARTINS DE MAGALHÃES;AYLTON MAGALHÃES;Deputado Estadual;11454;PP;Deferido;PP
BARTIRA SILVEIRA DE FREITAS;BARTIRA FREITAS;Deputado Estadual;70013;PT do B;Deferido;Rio Grande Unido Pode Mais
BEATRIZ FERNANDES CARVALHO RITTER;PROF BIA RITTER;Deputado Estadual;13121;PT;Indeferido;PT
BEATRIZ KLOVAN;BEATRIZ KLOVAN;Deputado Estadual;54888;PPL;Deferido;Avançar nas Mudanças
BEATRIZ KRAINOVIC;BEATRIZ KRAINOVIC;Deputado Estadual;11033;PP;Deferido;PP
BENHUR LUCÍDIO TERRA DOS SANTOS;BENHUR TERRA;Deputado Estadual;15678;PMDB;Deferido;PMDB
BENHUR TIECHER;THÊQUINHO;Deputado Estadual;10011;PRB;Deferido;Esperança por um Rio Grande Melhor
BENO RITTER;BENO RITTER (BERGAMOTA);Deputado Estadual;40159;PSB;Deferido;JUNTOS PELO RIO GRANDE
BERNADETE TEIXEIRA VIDAL;BERNADETE VIDAL;Deputado Estadual;25678;DEM;Deferido;Unidade Democrata Trabalhista
BERNARDINO VENDRUSCOLO;BERNARDINO VENDRUSCOLO;Deputado Estadual;90999;PROS;Deferido;Avançar nas Mudanças
CAMILA VERIDIANA RODRIGUES;CAMILA RODRIGUES;Deputado Estadual;20333;PSC;Aguardando julgamento;UNIÃO VERDE ECOLOGICA CRISTÃ
CARINE FRASSONI SILVEIRA;CARINE FRASSONI;Deputado Estadual;15315;PMDB;Deferido;PMDB
CARLITO NICOLAIT DE MATTOS;CARLITO NICOLAIT;Deputado Estadual;13313;PT;Deferido;PT
CARLOS ALBERTO CARDOSO DE AGUIAR JUNIOR;CAPITÃO AGUIAR;Deputado Estadual;40360;PSB;Deferido;JUNTOS PELO RIO GRANDE
CARLOS ALBERTO FONTOURA LUIZ;FONTOURA LUIZ PROTÉTICO;Deputado Estadual;43012;PV;Deferido;UNIÃO VERDE ECOLOGICA CRISTÃ
CARLOS ALEXANDRE GONÇALVES;ALEXANDRE GONÇALVES;Deputado Estadual;22000;PR;Deferido;Avançar nas Mudanças
CARLOS ANTONIO DA SILVA;CARLOS SILVA;Deputado Estadual;45445;PSDB;Deferido;Esperança por um Rio Grande Melhor
CARLOS ANTONIO DE ABREU BENNECH;CARLOS BENNECH;Deputado Estadual;15615;PMDB;Deferido;PMDB
CARLOS ARMANDO GOMES;CARLOS DREBES;Deputado Estadual;51555;PEN;Deferido;UNIÃO VERDE ECOLOGICA CRISTÃ
CARLOS AUGUSTO GONÇALVES LEITE;CARLOS BREIK;Deputado Estadual;40640;PSB;Deferido;JUNTOS PELO RIO GRANDE
CARLOS CLADEMIR MACHADO;PRAGUINHA;Deputado Estadual;36011;PTC;Deferido;Avançar nas Mudanças
CARLOS DANILO ROSA DE ARAUJO;DANILO BARBUDO;Deputado Estadual;77789;SD;Deferido;Esperança por um Rio Grande Melhor
CARLOS JUAREZ OURIQUE FAGUNDES;BITÃO;Deputado Estadual;10190;PRB;Deferido;Esperança por um Rio Grande Melhor
CARLOS LARRI DUARTE DE ARAUJO;CARLOS LARRY;Deputado Estadual;51234;PEN;Indeferido;UNIÃO VERDE ECOLOGICA CRISTÃ
CARLOS NILO COELHO PINTOS;CARLOS NILO;Deputado Estadual;11300;PP;Renúncia;PP
CARLOS ROBERTO DIAS DA FONSECA;CARLOS FONSECA;Deputado Estadual;40021;PSB;Deferido;JUNTOS PELO RIO GRANDE
CARMEM LUCIA SILVA DE OLIVEIRA;CARMEM LÚCIA;Deputado Estadual;54421;PPL;Deferido;Avançar nas Mudanças
CARMEN ZOLEIKE FLORES INACIO;CARMEN FLORES;Deputado Estadual;11200;PP;Deferido;PP
CAROLINA FIGUEREDO MACIEL;CAROL;Deputado Estadual;13888;PT;Deferido;PT
CAROLINA FRAGOSO LANGNER;CAROLINA FRAGOSO;Deputado Estadual;40000;PSB;Deferido;JUNTOS PELO RIO GRANDE
CAROLINE DE ALMEIDA;CAROL ALMEIDA;Deputado Estadual;14753;PTB;Renúncia;PTB
CATIA DA ROSA ANDRADE LEAL;CATIA LEAL;Deputado Estadual;20234;PSC;Indeferido;UNIÃO VERDE ECOLOGICA CRISTÃ
CELENI DE OLIVEIRA VIANA;CELENI VIANA;Deputado Estadual;45670;PSDB;Deferido;Esperança por um Rio Grande Melhor
CELSO DE MORAES PINTO;PASTOR CELSO MORAES;Deputado Estadual;14120;PTB;Deferido;PTB
CELSO KRAMER;CELSO KRAMER;Deputado Estadual;14234;PTB;Deferido;PTB
CÉSAR NICOLAU LAMPUGNANI;POLACO DOS RADIADORES;Deputado Estadual;43666;PV;Deferido;UNIÃO VERDE ECOLOGICA CRISTÃ
CESAR OLIVEIRA DE SOUZA;CESAR OLIVEIRA;Deputado Estadual;77111;SD;Deferido;Esperança por um Rio Grande Melhor
CEZAR PAULO MOSSINI;MOSSINI;Deputado Estadual;15915;PMDB;Deferido;PMDB
CILON JOSE FLORIANO MATOS;CILON MATOS;Deputado Estadual;70070;PT do B;Deferido;Rio Grande Unido Pode Mais
CINTIA PEREIRA DE SOUZA;CINTIA SOUZA;Deputado Estadual;12621;PDT;Deferido;Unidade Democrata Trabalhista
CIRCE MARIA MONDADORI LISIAK;CIRCE MONDADORI LISIAK;Deputado Estadual;11199;PP;Deferido;PP
CIRO CARLOS EMERIM SIMONI;CIRO SIMONI;Deputado Estadual;12233;PDT;Deferido;Unidade Democrata Trabalhista
CLAIR PLINIO BORGES;CLEITON DO JM;Deputado Estadual;15100;PMDB;Deferido;PMDB
CLAIR TOMÉ KUHN;CLAIR KUHN;Deputado Estadual;15789;PMDB;Deferido;PMDB
CLARISSA DE LOURDES SOMMER ALVES;CLARISSA SOMMER ALVES;Deputado Estadual;50888;PSOL;Deferido;Frente de Esquerda - PSOL / PSTU
CLARISSE GREFF DE SOUZA;CLARISSE SOUZA;Deputado Estadual;20333;PSC;Renúncia;UNIÃO VERDE ECOLOGICA CRISTÃ
CLAUDETE SILVA DE OLIVEIRA;PROFESSORA CLAUDETE OLIVEIRA;Deputado Estadual;54321;PPL;Deferido;Avançar nas Mudanças
CLAUDIA BARBOSA ALVES;CLAUDIA BARBOSA ALVES;Deputado Estadual;27232;PSDC;Deferido;Rio Grande Unido Pode Mais
CLAUDIA DE AVILA ANTONINI;CLAUDIA ANTONINI;Deputado Estadual;13200;PT;Deferido;PT
CLAUDIA MARILIA SAMPAIO DA SILVA;MARILIA SAMPAIO;Deputado Estadual;11021;PP;Deferido;PP
CLAUDIA REGINA ALVES FERREIRA;CLÁUDIA ALVES;Deputado Estadual;14888;PTB;Deferido;PTB
CLÁUDIO JOSÉ DE VITT BARROS;CLÁUDIO BARROS;Deputado Estadual;14111;PTB;Deferido;PTB
CLAUDIO RENATO DE OLIVEIRA GONÇALVES;O GORDO CLAUDIO;Deputado Estadual;36036;PTC;Deferido;Avançar nas Mudanças
CLAUDIOMIRO DA SILVA;CLAUDIOMIRO DA SILVA;Deputado Estadual;50222;PSOL;Deferido;Frente de Esquerda - PSOL / PSTU
CLAUDIOMIRO GOROSTIDE MENNA BARRETO;CLAUDIOMIRO MENNA BARRETO;Deputado Estadual;22333;PR;Deferido;Avançar nas Mudanças
CLEBER MARCOS GIDEL GONÇALVES;CLEBER GONÇALVES;Deputado Estadual;43998;PV;Indeferido;UNIÃO VERDE ECOLOGICA CRISTÃ
CLÉBIA TUCHTENHAGEN KORBERG;PROFESSORA CLÉBIA;Deputado Estadual;20208;PSC;Deferido;UNIÃO VERDE ECOLOGICA CRISTÃ
CLEBSON JERONIMO RAMIRES ANSELMO;CLEBSON ANSELMO;Deputado Estadual;17888;PSL;Aguardando julgamento;Rio Grande Unido Pode Mais
CLECI JUNG;CLECI JUNG;Deputado Estadual;10123;PRB;Deferido;Esperança por um Rio Grande Melhor
CLENI COELHO GONÇALVES;TINICA;Deputado Estadual;40780;PSB;Deferido;JUNTOS PELO RIO GRANDE
CLOVIS SOARES DA SILVA;PASTOR SILVA;Deputado Estadual;36362;PTC;Deferido;Avançar nas Mudanças
CONCEIÇÃO BEATRIZ ESPINDOLA BRASIL;BEATRIZ BRASIL;Deputado Estadual;65021;PC do B;Deferido;Avançar nas Mudanças
CRISTIAN ALEXANDRE STRACK;CRISTIAN STRACK (SURDO);Deputado Estadual;10411;PRB;Deferido;Esperança por um Rio Grande Melhor
CRISTIANA FEIJÓ;CRISTIANA FEIJÓ;Deputado Estadual;31123;PHS;Deferido;Rio Grande Unido Pode Mais
CRISTIANO RODRIGUES AQUINO;CRISTIANO AQUINO;Deputado Estadual;13607;PT;Deferido;PT
CRISTINA VIEIRA DOS REIS;CRISTINA REIS;Deputado Estadual;15600;PMDB;Deferido;PMDB
DANIEL ANTONIO GUERRA;DANIEL GUERRA;Deputado Estadual;10000;PRB;Deferido;Esperança por um Rio Grande Melhor
DANIEL BECKER PERTUZATTI;DANIEL PERTUZATTI;Deputado Estadual;50250;PSOL;Deferido;Frente de Esquerda - PSOL / PSTU
DANIEL DAUDT SCHAEFER;DANIEL DAUDT SCHAEFER;Deputado Estadual;15500;PMDB;Deferido;PMDB
DANIEL LOBO DE CARVALHO;DANIEL CARVALHO;Deputado Estadual;45100;PSDB;Deferido;Esperança por um Rio Grande Melhor
DANIEL LUIZ BORDIGNON;DANIEL BORDIGNON;Deputado Estadual;13456;PT;Aguardando julgamento;PT
DANIEL SOUZA DOS SANTOS;DANIEL SANTOS;Deputado Estadual;54450;PPL;Deferido;Avançar nas Mudanças
DANIEL TERCILIO CARNIEL DE OLIVEIRA;DANIEL CARNIEL;Deputado Estadual;40033;PSB;Deferido;JUNTOS PELO RIO GRANDE
DANIELA DA SILVA VIEIRA;DANIELA VIEIRA;Deputado Estadual;14580;PTB;Deferido;PTB
DANIELE PACHECO DOS SANTOS;DANY PACCHESAN;Deputado Estadual;14345;PTB;Deferido;PTB
DARCI LUIZ DOMINGUES;DR. DARCI DOMINGUES;Deputado Estadual;20888;PSC;Deferido;UNIÃO VERDE ECOLOGICA CRISTÃ
DARIO FRANCISCO DA SILVEIRA;DARIO;Deputado Estadual;12500;PDT;Deferido;Unidade Democrata Trabalhista
DECIO LUIZ FRANZEN;DECIO FRANZEN;Deputado Estadual;12678;PDT;Deferido;Unidade Democrata Trabalhista
DEISE CRISTINA BARCHFELD BORGES;DEISE BARCHFELD;Deputado Estadual;51750;PEN;Aguardando julgamento;UNIÃO VERDE ECOLOGICA CRISTÃ
DELANOR BIF DE LAGOS;PRETO;Deputado Estadual;12300;PDT;Deferido;Unidade Democrata Trabalhista
DELMAR MEBIUS;BARBEIRO;Deputado Estadual;55456;PSD;Deferido;Rio Grande Unido Pode Mais
DELVIA MARIA MORALES DA ROCHA PEREIRA;DELVIA ROCHA;Deputado Estadual;15588;PMDB;Aguardando julgamento;PMDB
DENIS REMI CARDOSO SILVEIRA;DENIS REMI;Deputado Estadual;13600;PT;Deferido;PT
DENISE LETICIA DOS SANTOS;DENISE;Deputado Estadual;65765;PC do B;Deferido;Avançar nas Mudanças
DIEGO DAL PIVA DA LUZ;DIEGO PICUCHA;Deputado Estadual;12120;PDT;Deferido;Unidade Democrata Trabalhista
DIEISON JOCEMAR ENGROFF;DIEISON GROFF;Deputado Estadual;40100;PSB;Deferido;JUNTOS PELO RIO GRANDE
DIOGENES LUIS BASEGIO;DR BASEGIO;Deputado Estadual;12456;PDT;Deferido;Unidade Democrata Trabalhista
DIVALDINO LUIZ PIRES DA SILVA;IRMÃO PIRES;Deputado Estadual;20012;PSC;Deferido;UNIÃO VERDE ECOLOGICA CRISTÃ
DOGIVAL SILVA DUARTE;DOGIVAL DUARTE;Deputado Estadual;12550;PDT;Deferido;Unidade Democrata Trabalhista
DONÁRIO SOUZA DA COSTA;DONÁRIO SOUZA DA COSTA;Deputado Estadual;10111;PRB;Deferido;Esperança por um Rio Grande Melhor
DORIVAL SEBASTIÃO IPE DA SILVA;DR. IPE;Deputado Estadual;11589;PP;Deferido;PP
DOUGLAS QUADROS DOBLER;DOUGLAS DOBLER;Deputado Estadual;51012;PEN;Deferido;UNIÃO VERDE ECOLOGICA CRISTÃ
DURBE MARLI DA COSTA PETRY;DURBE PETRY;Deputado Estadual;10023;PRB;Deferido;Esperança por um Rio Grande Melhor
EBERSON LUIS FERNANDES;EBERSON FERNANDES;Deputado Estadual;13777;PT;Aguardando julgamento;PT
EBERSON MACHADO DE OLIVEIRA;EBERSON MACHADO;Deputado Estadual;40300;PSB;Deferido;JUNTOS PELO RIO GRANDE
EDEGAR LUIS CABRAL;EDEGAR CABRAL;Deputado Estadual;70677;PT do B;Deferido;Rio Grande Unido Pode Mais
EDEMAR TSOKOS GUEDES DA FONSECA;EDEMAR TSOKOS FONSECA;Deputado Estadual;36123;PTC;Deferido;Avançar nas Mudanças
EDI CARLOS PEREIRA DE SOUZA;EDICARLOS;Deputado Estadual;40234;PSB;Deferido;JUNTOS PELO RIO GRANDE
EDI DIONE DIAS DE MORAES;DIONE MORAES;Deputado Estadual;51751;PEN;Renúncia;UNIÃO VERDE ECOLOGICA CRISTÃ
EDI WILSON JOSE DOS SANTOS;DINHO DO GRÊMIO;Deputado Estadual;10555;PRB;Deferido;Esperança por um Rio Grande Melhor
EDIANA KROHN;EDIANA KROHN;Deputado Estadual;13088;PT;Deferido;PT
EDILAMAR SOARES DA SILVA;EDILA SOARES;Deputado Estadual;12547;PDT;Deferido;Unidade Democrata Trabalhista
EDISON OSVALDO ARNT;EDISON OSVALDO ARNT;Deputado Estadual;25555;DEM;Deferido;Unidade Democrata Trabalhista
EDSON LUIS PEREIRA ROSA;TENENTE EDSON ROSA;Deputado Estadual;13999;PT;Indeferido;PT
EDSON MEURER BRUM;EDSON BRUM;Deputado Estadual;15200;PMDB;Deferido;PMDB
EDSON PAULO THEODORO DA ROSA;EDSON DA ROSA;Deputado Estadual;15680;PMDB;Deferido;PMDB
EDUARDO ANTÔNIO MATOS;EDUARDO MATOS;Deputado Estadual;43987;PV;Deferido;UNIÃO VERDE ECOLOGICA CRISTÃ
EDUARDO BOCHI DE SALES;EDUARDO BOCHI;Deputado Estadual;43243;PV;Deferido;UNIÃO VERDE ECOLOGICA CRISTÃ
EDUARDO DEBACCO LOUREIRO;EDUARDO LOUREIRO;Deputado Estadual;12412;PDT;Deferido;Unidade Democrata Trabalhista
EDUARDO KAPPEL;EDUARDO KAPPEL;Deputado Estadual;11711;PP;Deferido;PP
EDUARDO MERINO;EDUARDO MERINO;Deputado Estadual;10100;PRB;Deferido;Esperança por um Rio Grande Melhor
EDUARDO RAFAEL VIERA OLIVERA;EDU OLIVERA;Deputado Estadual;55755;PSD;Deferido;Rio Grande Unido Pode Mais
EDUARDO SOARES DA ROSA;DUDA CALVIN;Deputado Estadual;13051;PT;Deferido;PT
EDUARDO WAGNER;EDUARDO WAGNER;Deputado Estadual;22345;PR;Deferido;Avançar nas Mudanças
ELAIR LUIZ NATHANAEL DE SOUZA;PROFESSOR NATHANAEL;Deputado Estadual;14768;PTB;Deferido;PTB
ELDOMIR PAULO MARCHEZAN;MARCHEZAN;Deputado Estadual;22444;PR;Deferido;Avançar nas Mudanças
ELENITA DOS SANTOS SOARES;ELENITA SOARES;Deputado Estadual;43030;PV;Deferido;UNIÃO VERDE ECOLOGICA CRISTÃ
ELIANE AVILA DE CARVALHO;ELIANE;Deputado Estadual;40110;PSB;Deferido;JUNTOS PELO RIO GRANDE
ELIANE CAMPO;ELIANE CAMPO;Deputado Estadual;20220;PSC;Deferido;UNIÃO VERDE ECOLOGICA CRISTÃ
ELIO MELVIM JONES DO AMARAL;ELIO AMARAL;Deputado Estadual;55123;PSD;Deferido;Rio Grande Unido Pode Mais
ELISA MARA MACHADO RODRIGUES;ELISA RODRIGUES;Deputado Estadual;15215;PMDB;Deferido;PMDB
ELISEU MONTEIRO;ELISEU MONTEIRO KARAZINHO;Deputado Estadual;70888;PT do B;Deferido;Rio Grande Unido Pode Mais
ELIZA DE ALMEIDA FERREIRA DE OLIVEIRA;ELIZA OLIVEIRA;Deputado Estadual;45512;PSDB;Deferido;Esperança por um Rio Grande Melhor
ELIZETE BLEHM DE BITHENCOURT;ZETE BLEHM DA DI ELIZ;Deputado Estadual;25123;DEM;Deferido;Unidade Democrata Trabalhista
ELLEN WIETH;ELLEN WHIETH;Deputado Estadual;70014;PT do B;Indeferido;Rio Grande Unido Pode Mais
ELMAR CAINELLI;CAINELLI;Deputado Estadual;20500;PSC;Deferido;UNIÃO VERDE ECOLOGICA CRISTÃ
ELOASE ROSA ZIGNANI;ELOASE ZIGNANI;Deputado Estadual;25082;DEM;Indeferido;Unidade Democrata Trabalhista
ELOI BRAZ SESSIM;SESSIM;Deputado Estadual;70123;PT do B;Renúncia;Rio Grande Unido Pode Mais
ELTON ROBERTO WEBER;ELTON WEBER;Deputado Estadual;40120;PSB;Deferido;JUNTOS PELO RIO GRANDE
ELY MANOEL ROSA;ELY MANOEL ROSA DUCE;Deputado Estadual;14610;PTB;Deferido;PTB
EMERSON ALAN PEREIRA RODRIGUES;EMERSON RODRIGUES;Deputado Estadual;33000;PMN;Deferido;PMN
EMERSON ANDREIS SANTAREM;SANTARÉM;Deputado Estadual;65300;PC do B;Deferido;Avançar nas Mudanças
EMILIA THEREZINHA XAVIER FERNANDES;EMILIA FERNANDES;Deputado Estadual;65165;PC do B;Deferido;Avançar nas Mudanças
EMURI DUVAL GONÇALVES;EMURI DUVAL;Deputado Estadual;54053;PPL;Deferido;Avançar nas Mudanças
ENELITA DE FÁTIMA FERNANDES GOMES;ENELITA GOMES;Deputado Estadual;14369;PTB;Deferido;PTB
ENI VEIGA CANARIM;ENI CANARIM;Deputado Estadual;12258;PDT;Deferido;Unidade Democrata Trabalhista
